type, label
http://www.cidoc-crm.org/cidoc-crm/P15_was_influenced_by, was influenced by
http://www.cidoc-crm.org/cidoc-crm/P160_has_temporal_projection, has temporal projection
http://www.cidoc-crm.org/cidoc-crm/P161_has_spatial_projection, has spatial projection
http://www.cidoc-crm.org/cidoc-crm/P164_is_temporally_specified_by, is temporally specified by
http://www.cidoc-crm.org/cidoc-crm/P165_incorporates, incorporates
http://www.cidoc-crm.org/cidoc-crm/P166_was_a_presence_of, was a presence of
http://www.cidoc-crm.org/cidoc-crm/P167_was_within, was within
http://www.cidoc-crm.org/cidoc-crm/P16_used_specific_object, used specific object
http://www.cidoc-crm.org/cidoc-crm/P173_starts_before_or_with_the_end_of, starts before or with the end of
http://www.cidoc-crm.org/cidoc-crm/P174_starts_before_the_end_of, starts before the end of
http://www.cidoc-crm.org/cidoc-crm/P175_starts_before_or_with_the_start_of, starts before or with the start of
http://www.cidoc-crm.org/cidoc-crm/P176_starts_before_the_start_of, starts before the start of
http://www.cidoc-crm.org/cidoc-crm/P177_assigned_property_of_type, assigned property of type
http://www.cidoc-crm.org/cidoc-crm/P179_had_sales_price, had sales price
http://www.cidoc-crm.org/cidoc-crm/P17_was_motivated_by, was motivated by
http://www.cidoc-crm.org/cidoc-crm/P180_has_currency, has currency
http://www.cidoc-crm.org/cidoc-crm/P182_ends_before_or_with_the_start_of, ends before or with the start of
http://www.cidoc-crm.org/cidoc-crm/P183_ends_before_the_start_of, ends before the start of
http://www.cidoc-crm.org/cidoc-crm/P184_ends_before_or_with_the_end_of, ends before or with the end of
http://www.cidoc-crm.org/cidoc-crm/P185_ends_before_the_end_of, ends before the end of
http://www.cidoc-crm.org/cidoc-crm/P186_produced_thing_of_product_type, produced thing of product type
http://www.cidoc-crm.org/cidoc-crm/P187_has_production_plan, has production plan
http://www.cidoc-crm.org/cidoc-crm/P188_requires_production_tool, requires production tool
http://www.cidoc-crm.org/cidoc-crm/P189_approximates, approximates
http://www.cidoc-crm.org/cidoc-crm/P191_had_duration, had duration
http://www.cidoc-crm.org/cidoc-crm/P195_was_a_presence_of, was a presence of
http://www.cidoc-crm.org/cidoc-crm/P196_defines, defines
http://www.cidoc-crm.org/cidoc-crm/P197_covered_parts_of, covered parts of
http://www.cidoc-crm.org/cidoc-crm/P198_holds_or_supports, holds or supports
http://www.cidoc-crm.org/cidoc-crm/P19_was_intended_use_of, was intended use of
http://www.cidoc-crm.org/cidoc-crm/P1_is_identified_by, is identified by
http://www.cidoc-crm.org/cidoc-crm/P20_had_specific_purpose, had specific purpose
http://www.cidoc-crm.org/cidoc-crm/P21_had_general_purpose, had general purpose
http://www.cidoc-crm.org/cidoc-crm/P22_transferred_title_to, transferred title to
http://www.cidoc-crm.org/cidoc-crm/P23_transferred_title_from, transferred title from
http://www.cidoc-crm.org/cidoc-crm/P24_transferred_title_of, transferred title of
http://www.cidoc-crm.org/cidoc-crm/P25_moved, moved
http://www.cidoc-crm.org/cidoc-crm/P26_moved_to, moved to
http://www.cidoc-crm.org/cidoc-crm/P27_moved_from, moved from
http://www.cidoc-crm.org/cidoc-crm/P28_custody_surrendered_by, custody surrendered by
http://www.cidoc-crm.org/cidoc-crm/P29_custody_received_by, custody received by
http://www.cidoc-crm.org/cidoc-crm/P2_has_type, has type
http://www.cidoc-crm.org/cidoc-crm/P30_transferred_custody_of, transferred custody of
http://www.cidoc-crm.org/cidoc-crm/P31_has_modified, has modified
http://www.cidoc-crm.org/cidoc-crm/P32_used_general_technique, used general technique
http://www.cidoc-crm.org/cidoc-crm/P33_used_specific_technique, used specific technique
http://www.cidoc-crm.org/cidoc-crm/P34_concerned, concerned
http://www.cidoc-crm.org/cidoc-crm/P35_has_identified, has identified
http://www.cidoc-crm.org/cidoc-crm/P37_assigned, assigned
http://www.cidoc-crm.org/cidoc-crm/P38_deassigned, deassigned
http://www.cidoc-crm.org/cidoc-crm/P39_measured, measured
http://www.cidoc-crm.org/cidoc-crm/P40_observed_dimension, observed dimension
http://www.cidoc-crm.org/cidoc-crm/P41_classified, classified
http://www.cidoc-crm.org/cidoc-crm/P42_assigned, assigned
http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension, has dimension
http://www.cidoc-crm.org/cidoc-crm/P44_has_condition, has condition
http://www.cidoc-crm.org/cidoc-crm/P45_consists_of, consists of
http://www.cidoc-crm.org/cidoc-crm/P46_is_composed_of, is composed of
http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier, has preferred identifier
http://www.cidoc-crm.org/cidoc-crm/P49_has_former_or_current_keeper, has former or current keeper
http://www.cidoc-crm.org/cidoc-crm/P4_has_time-span, has time-span
http://www.cidoc-crm.org/cidoc-crm/P50_has_current_keeper, has current keeper
http://www.cidoc-crm.org/cidoc-crm/P51_has_former_or_current_owner, has former or current owner
http://www.cidoc-crm.org/cidoc-crm/P52_has_current_owner, has current owner
http://www.cidoc-crm.org/cidoc-crm/P53_has_former_or_current_location, has former or current location
http://www.cidoc-crm.org/cidoc-crm/P54_has_current_permanent_location, has current permanent location
http://www.cidoc-crm.org/cidoc-crm/P55_has_current_location, has current location
http://www.cidoc-crm.org/cidoc-crm/P56_bears_feature, bears feature
http://www.cidoc-crm.org/cidoc-crm/P59_has_section, has section
http://www.cidoc-crm.org/cidoc-crm/P5_consists_of, consists of
http://www.cidoc-crm.org/cidoc-crm/P62_depicts, depicts
http://www.cidoc-crm.org/cidoc-crm/P65_shows_visual_item, shows visual item
http://www.cidoc-crm.org/cidoc-crm/P67_refers_to, refers to
http://www.cidoc-crm.org/cidoc-crm/P68_foresees_use_of, foresees use of
http://www.cidoc-crm.org/cidoc-crm/P69_has_association_with, has association with
http://www.cidoc-crm.org/cidoc-crm/P70_documents, documents
http://www.cidoc-crm.org/cidoc-crm/P71_lists, lists
http://www.cidoc-crm.org/cidoc-crm/P72_has_language, has language
http://www.cidoc-crm.org/cidoc-crm/P73_has_translation, has translation
http://www.cidoc-crm.org/cidoc-crm/P74_has_current_or_former_residence, has current or former residence
http://www.cidoc-crm.org/cidoc-crm/P75_possesses, possesses
http://www.cidoc-crm.org/cidoc-crm/P76_has_contact_point, has contact point
http://www.cidoc-crm.org/cidoc-crm/P7_took_place_at, took place at
http://www.cidoc-crm.org/cidoc-crm/P86_falls_within, falls within
http://www.cidoc-crm.org/cidoc-crm/P89_falls_within, falls within
http://www.cidoc-crm.org/cidoc-crm/P8_took_place_on_or_within, took place on or within
http://www.cidoc-crm.org/cidoc-crm/P91_has_unit, has unit
http://www.cidoc-crm.org/cidoc-crm/P92_brought_into_existence, brought into existence
http://www.cidoc-crm.org/cidoc-crm/P93_took_out_of_existence, took out of existence
http://www.cidoc-crm.org/cidoc-crm/P94_has_created, has created
http://www.cidoc-crm.org/cidoc-crm/P95_has_formed, has formed
http://www.cidoc-crm.org/cidoc-crm/P96_by_mother, by mother
http://www.cidoc-crm.org/cidoc-crm/P97_from_father, from father
http://www.cidoc-crm.org/cidoc-crm/P98_brought_into_life, brought into life
http://www.cidoc-crm.org/cidoc-crm/P99_dissolved, dissolved
http://www.cidoc-crm.org/cidoc-crm/P9_consists_of, consists of
http://www.ics.forth.gr/isl/CRMdig/L10_had_input, had input
http://www.ics.forth.gr/isl/CRMdig/L11_had_output, had output
http://www.ics.forth.gr/isl/CRMdig/L12_happened_on_device, happened on device
http://www.ics.forth.gr/isl/CRMdig/L13_used_parameters, used parameters
http://www.ics.forth.gr/isl/CRMdig/L14_transferred, transferred
http://www.ics.forth.gr/isl/CRMdig/L15_has_sender, has sender
http://www.ics.forth.gr/isl/CRMdig/L16_has_receiver, has receiver
http://www.ics.forth.gr/isl/CRMdig/L17_measured_thing_of_type, measured thing of type
http://www.ics.forth.gr/isl/CRMdig/L18_has_modified, has modified
http://www.ics.forth.gr/isl/CRMdig/L19_stores, stores
http://www.ics.forth.gr/isl/CRMdig/L1_digitized, digitized
http://www.ics.forth.gr/isl/CRMdig/L20_has_created, has created
http://www.ics.forth.gr/isl/CRMdig/L21_used_as_derivation_source, used as derivation source
http://www.ics.forth.gr/isl/CRMdig/L22_created_derivative, created derivative
http://www.ics.forth.gr/isl/CRMdig/L23_used_software_or_firmware, used software or firmware
http://www.ics.forth.gr/isl/CRMdig/L24_created_logfile, created logfile
http://www.ics.forth.gr/isl/CRMdig/L2_used_as_source, used as source
http://www.ics.forth.gr/isl/CRMdig/L43_annotates, annotates
http://www.ics.forth.gr/isl/CRMdig/L48_created_annotation, created annotation
http://www.ics.forth.gr/isl/CRMdig/L49_is_primary_area_of, is primary area of
http://www.ics.forth.gr/isl/CRMdig/L50_is_propagated_area_of, is propagated area of
http://www.ics.forth.gr/isl/CRMdig/L54_is_same-as, is same-as
http://www.ics.forth.gr/isl/CRMdig/L60_documents, documents
https://ontology.swissartresearch.net/aaao/ZP100_challenged, challenged
https://ontology.swissartresearch.net/aaao/ZP114_has_geographic_scope, has geographic scope
https://ontology.swissartresearch.net/aaao/ZP42_intentionally_initiated, intentionally initiated
https://ontology.swissartresearch.net/aaao/ZP75_applies_for_context, applies for context
https://ontology.swissartresearch.net/aaao/ZP96_has_authority_status_subject, has authority status subject
https://ontology.swissartresearch.net/pwro/WP12_had_addressee, had addressee
https://ontology.swissartresearch.net/pwro/WP13_had_declared_origin, had declared origin
https://ontology.swissartresearch.net/pwro/WP14_visited, visited
https://ontology.swissartresearch.net/pwro/WP16_had_combatant, had combatant
https://ontology.swissartresearch.net/pwro/WP6_had_intended_target, had intended target
https://ontology.swissartresearch.net/pwro/WP7_was_undertaken_by, was undertaken by
https://ontology.swissartresearch.net/pwro/WP9_had_declared_destination, had declared destination
https://r11.eu/ns/prosopography/P13, pertains to
https://r11.eu/ns/prosopography/P14, has social quality
https://r11.eu/ns/prosopography/P15, involves partner
https://r11.eu/ns/prosopography/P16, has relationship type
https://r11.eu/ns/prosopography/P17, has relationship source
https://r11.eu/ns/prosopography/P18, has relationship target
https://r11.eu/ns/prosopography/P26, is embodiment by
https://r11.eu/ns/prosopography/P33, is embodiment of
https://r11.eu/ns/prosopography/P35, is defined by
https://r11.eu/ns/prosopography/P36, pertains to
https://r11.eu/ns/prosopography/P37, concerns
https://r11.eu/ns/prosopography/P38, has skill
https://r11.eu/rdf/resource/6627b7f0221b8, Man of the krites of the velon
https://r11.eu/rdf/resource/6627b9d69cf05, Man of the emperor
https://r11.eu/rdf/resource/6627bb039c693, Man of the kaisar
https://r11.eu/rdf/resource/6628cbb80f4f2, Man of the patriarch
https://r11.eu/rdf/resource/6628cbcd8f1c3, Man of the despoina
https://r11.eu/rdf/resource/6628cbdfee85e, Man of the anagrapheus
https://r11.eu/rdf/resource/6628fb8133e66, man of the krites
https://r11.eu/rdf/resource/6638da091252d, man
