"type","label",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/GDr","SignedwithEquilateralTriangle",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/GLK","SignedwithLargeEmptyCircle",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/GSt","SignedwithLargeAsterisk",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/GeK","SignedwithCommonCross",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/GuP","Signedwith'EqualandParallelTo'-Character",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/HoO","SignedwithHorizontalOval",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/LaK","SignedwithLatinCross",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/LeK","SignedwithEmptyCircle",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/LiH","SignedwithLeftWoundCrosier",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/Par","SignedwithParagraphSign",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/RLK","SignedwithRightLeaningLatinCross",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/ZAn","SignedwithTwoSt.Andrew'sCrosses",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/leQ","SignedwithEmptySquare",
"https://sk.acdh.oeaw.ac.at/types/text/chiffre/reH","SignedwithRightWoundCrosier",
"https://sk.acdh.oeaw.ac.at/types/text/rubric","Rubric",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/Abf","Rubric'Abfälle'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/AdG","Rubric'AntwortenderGeschäftsstelle'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/AdH","Rubric'AntwortendesHerausgebers'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/Bri","Rubric'Briefkasten'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/DlN","Rubric'DieletzteNacht'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/Glo","Rubric'Glossen'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/GloNot","Rubric'Glossen,Notizen'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/GloNotAph","Rubric'Glossen,Notizen,Aphorismen'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/GloNotBri","Rubric'Glossen,Notizen,Briefe'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/Ins","Rubric'Inschriften'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/Lap","Rubric'LapidaresausderNeuenFreienPresse'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/LiF","Rubric'LiebeFackel!'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/MdV","Rubric'MitteilungendesVerlages'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/Nac","Rubric'Nachts'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/Not","Rubric'Notizen'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/Pro","Rubric'Prodomoetmundo'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/Spl","Rubric'ZurSprachlehre'",
"https://sk.acdh.oeaw.ac.at/types/text/rubric/Spr","Rubric'VomSpringinsgeld/DerjungeSpringinsgeld'",
"https://sk.acdh.oeaw.ac.at/types/title","Title",
"https://sk.acdh.oeaw.ac.at/types/title/main","MainTitle",
"https://sk.acdh.oeaw.ac.at/types/title/prov","ProvisionalTitle",
"https://sk.acdh.oeaw.ac.at/types/title/sub","Subtitle",
"https://sk.acdh.oeaw.ac.at/types/translation","Translation",
